,Country,Year,Cases,Continent,Population
295,Kenya,2004,2880,Africa,"4,75,64,296"
296,Kenya,2011,4703,Africa,"4,75,64,296"
297,Kenya,2010,4817,Africa,"4,75,64,296"
298,Kenya,2005,2590,Africa,"4,75,64,296"
299,Kenya,2006,2965,Africa,"4,75,64,296"
300,Kenya,2008,2719,Africa,"4,75,64,296"
301,Kenya,2007,3051,Africa,"4,75,64,296"
302,Kuwait,2009,509,Asia,"44,20,110"
303,Kuwait,2005,372,Asia,"44,20,110"
304,Kuwait,2004,393,Asia,"44,20,110"
305,Kuwait,2008,421,Asia,"44,20,110"
306,Kuwait,2007,421,Asia,"44,20,110"
307,Kuwait,2006,422,Asia,"44,20,110"
308,Kyrgyzstan,2011,55,Asia,"63,09,300"
309,Kyrgyzstan,2008,13,Asia,"63,09,300"
310,Kyrgyzstan,2004,17,Asia,"63,09,300"
311,Kyrgyzstan,2005,16,Asia,"63,09,300"
312,Kyrgyzstan,2009,34,Asia,"63,09,300"
313,Kyrgyzstan,2003,15,Asia,"63,09,300"
314,Kyrgyzstan,2006,18,Asia,"63,09,300"
315,Kyrgyzstan,2007,14,Asia,"63,09,300"
316,Lithuania,2003,415,Europe,"27,93,466"
317,Lithuania,2007,385,Europe,"27,93,466"
318,Lithuania,2010,514,Europe,"27,93,466"
319,Lithuania,2006,521,Europe,"27,93,466"
320,Lithuania,2004,444,Europe,"27,93,466"
321,Lithuania,2011,529,Europe,"27,93,466"
322,Lithuania,2009,362,Europe,"27,93,466"
323,Lithuania,2008,368,Europe,"27,93,466"
324,Lithuania,2005,558,Europe,"27,93,466"
325,Luxembourg,2007,592,Europe,"6,13,894"
326,Luxembourg,2009,304,Europe,"6,13,894"
327,Luxembourg,2011,284,Europe,"6,13,894"
328,Luxembourg,2006,205,Europe,"6,13,894"
329,Luxembourg,2008,353,Europe,"6,13,894"
330,Luxembourg,2010,260,Europe,"6,13,894"
331,Maldives,2007,342,Asia,"3,74,775"
332,Maldives,2008,465,Asia,"3,74,775"
333,Mauritius,2004,297,Africa,"12,65,577"
334,Mauritius,2005,314,Africa,"12,65,577"
335,Mauritius,2003,298,Africa,"12,65,577"
336,Mauritius,2011,466,Africa,"12,65,577"
337,Mauritius,2006,420,Africa,"12,65,577"
338,Mauritius,2010,432,Africa,"12,65,577"
339,Mauritius,2008,413,Africa,"12,65,577"
340,Mauritius,2009,442,Africa,"12,65,577"
341,Mauritius,2007,384,Africa,"12,65,577"
342,Mexico,2006,30906,Americas,"12,65,77,691"
343,Mexico,2011,34027,Americas,"12,65,77,691"
344,Mexico,2009,33815,Americas,"12,65,77,691"
345,Mexico,2008,32862,Americas,"12,65,77,691"
346,Mexico,2010,34113,Americas,"12,65,77,691"
347,Mexico,2004,28815,Americas,"12,65,77,691"
348,Mexico,2007,33102,Americas,"12,65,77,691"
349,Mexico,2005,28622,Americas,"12,65,77,691"
350,Mongolia,2005,338,Asia,"30,00,000"
351,Mongolia,2010,362,Asia,"30,00,000"
352,Mongolia,2011,388,Asia,"30,00,000"
353,Mongolia,2009,347,Asia,"30,00,000"
354,Mongolia,2006,323,Asia,"30,00,000"
355,Mongolia,2007,366,Asia,"30,00,000"
356,Mongolia,2008,373,Asia,"30,00,000"
357,Montenegro,2005,35,Europe,"6,22,182"
358,Montenegro,2004,42,Europe,"6,22,182"
359,Montenegro,2006,43,Europe,"6,22,182"
360,Montenegro,2007,30,Europe,"6,22,182"
361,Montenegro,2008,35,Europe,"6,22,182"
362,Montenegro,2009,42,Europe,"6,22,182"
363,Montenegro,2003,32,Europe,"6,22,182"
364,Montenegro,2010,36,Europe,"6,22,182"
365,Montenegro,2011,42,Europe,"6,22,182"
366,Morocco,2008,2559,Africa,"3,58,42,238"
367,Morocco,2004,594,Africa,"3,58,42,238"
368,Morocco,2007,2531,Africa,"3,58,42,238"
369,Morocco,2005,929,Africa,"3,58,42,238"
370,Morocco,2009,3252,Africa,"3,58,42,238"
371,Morocco,2006,2243,Africa,"3,58,42,238"
372,Morocco,2003,827,Africa,"3,58,42,238"
