,country,date,sexual violence,rate
789,Solomon Islands,2008,122,23.9112071
797,Spain,2007,10348,23.1995133
798,Spain,2008,11558,25.60123588
799,Spain,2009,10684,23.410258
800,Spain,2010,9958,21.61165522
801,Spain,2011,9860,21.22488922
802,Sweden,2003,10142,113.5036941
803,Sweden,2004,10419,116.0507977
804,Sweden,2005,11711,129.6993304
805,Sweden,2006,12147,133.6199704
806,Sweden,2007,12563,137.1300855
807,Sweden,2008,14342,155.2690131
808,Sweden,2009,15693,168.5405929
809,Sweden,2010,17167,183.0231648
810,Sweden,2011,17077,180.88611
817,Switzerland,2009,6648,87.23023152
818,Switzerland,2010,6321,82.47309154
819,Switzerland,2011,6121,79.47606305
824,Syrian Arab Republic,2007,70,0.362294463
825,Syrian Arab Republic,2008,85,0.431597858
832,Tajikistan,2006,169,2.590183603
833,Tajikistan,2007,171,2.589172776
834,Tajikistan,2008,182,2.719902633
835,Tajikistan,2009,168,2.476637787
836,Tajikistan,2010,197,2.863939469
837,Tajikistan,2011,201,2.88091171
841,The former Yugoslav Republic of Macedonia,2006,146,7.146035101
842,The former Yugoslav Republic of Macedonia,2007,145,7.080347787
843,The former Yugoslav Republic of Macedonia,2008,155,7.551677837
844,The former Yugoslav Republic of Macedonia,2009,136,6.612312807
845,The former Yugoslav Republic of Macedonia,2010,124,6.017772813
846,The former Yugoslav Republic of Macedonia,2011,126,6.104967651
848,Trinidad and Tobago,2004,633,48.29767851
849,Trinidad and Tobago,2005,803,61.04671937
850,Trinidad and Tobago,2006,803,60.81407554
851,Trinidad and Tobago,2007,901,67.96552994
852,Trinidad and Tobago,2008,779,58.52566414
853,Trinidad and Tobago,2009,804,60.16392424
854,Trinidad and Tobago,2010,767,57.17629606
855,Trinidad and Tobago,2011,709,52.66089798
856,Turkey,2003,2858,4.308146559
857,Turkey,2004,2893,4.302759148
858,Turkey,2005,3020,4.43184444
859,Turkey,2006,3300,4.778208727
860,Turkey,2007,2056,2.937446925
861,Turkey,2008,1850,2.608435851
867,Uganda,2005,14101,49.59691471
868,Uganda,2006,17046,58.03831911
869,Uganda,2007,32305,106.476967
870,Uganda,2008,10365,33.07339211
871,Uganda,2009,8646,26.71164208
872,Uganda,2010,8645,25.86411964
874,Ukraine,2003,2180,4.575671724
875,Ukraine,2004,1988,4.205160205
876,Ukraine,2005,1929,4.110909132
877,Ukraine,2006,2114,4.537279384
878,Ukraine,2007,1898,4.100932372
879,Ukraine,2008,1995,4.337750141
880,Ukraine,2009,1698,3.714316151
881,Ukraine,2010,1348,2.966005637
912,Yemen,2005,0,0
913,Yemen,2006,71,0.333520136
914,Yemen,2007,54,0.246047408
915,Yemen,2008,81,0.357985813
916,Yemen,2009,72,0.308639144
