,Country,Year,Cases,Crime Rate,Continent
364,Montenegro,2010,36,5.700802863,Europe
365,Montenegro,2011,42,6.642826301,Europe
366,Morocco,2008,2559,8.170119055,Africa
367,Morocco,2004,594,1.974592775,Africa
368,Morocco,2007,2531,8.161567697,Africa
369,Morocco,2005,929,3.056677882,Africa
370,Morocco,2009,3252,10.27990812,Africa
371,Morocco,2006,2243,7.305692995,Africa
372,Morocco,2003,827,2.777934907,Africa
373,Mozambique,2006,639,3.001274908,Africa
374,Mozambique,2007,629,2.883822836,Africa
375,Mozambique,2008,640,2.865727245,Africa
376,Mozambique,2004,834,4.11927382,Africa
377,Mozambique,2005,789,3.798745817,Africa
378,Mozambique,2009,613,2.68170322,Africa
379,Netherlands,2010,7020,42.25609505,Europe
380,Netherlands,2008,7670,46.47565757,Europe
381,Netherlands,2007,8495,51.66180425,Europe
382,Netherlands,2009,7455,45.02010596,Europe
383,Netherlands,2006,9355,57.11944938,Europe
384,Netherlands,2011,6650,39.90459861,Europe
385,Netherlands,2005,12700,77.88803466,Europe
386,New Zealand,2006,2823,67.45676065,Oceania
387,New Zealand,2008,2732,63.86446894,Oceania
388,New Zealand,2009,2826,65.37689572,Oceania
389,New Zealand,2005,2465,59.62579192,Oceania
390,New Zealand,2007,2788,65.87184147,Oceania
391,New Zealand,2010,2913,66.68748409,Oceania
392,New Zealand,2011,3347,75.8181714,Oceania
393,Nicaragua,2010,3626,62.64509137,Americas
394,Norway,2008,2296,48.04393593,Europe
395,Norway,2006,2176,46.60724528,Europe
396,Norway,2010,2448,50.13197529,Europe
397,Norway,2011,2661,54.03212444,Europe
398,Norway,2007,2235,47.33147876,Europe
399,Norway,2009,2410,49.85517176,Europe
400,Norway,2005,1960,42.39397936,Europe
401,Norway,2004,1952,42.55462012,Europe
402,Norway,2003,1996,43.78479641,Europe
403,Oman,2007,132,5.1538603,Asia
404,Oman,2008,183,6.939801582,Asia
405,Paraguay,2007,2612,42.68465567,Americas
406,Paraguay,2009,3114,49.10206607,Americas
407,Paraguay,2006,2555,42.52240581,Americas
408,Paraguay,2011,3528,53.71261013,Americas
409,Paraguay,2008,2752,44.17163892,Americas
410,Paraguay,2010,3395,52.59857081,Americas
411,Philippines,2009,1601,1.745851748,Asia
412,Philippines,2011,1744,1.838653321,Asia
413,Philippines,2010,2176,2.333241884,Asia
414,Philippines,2008,1506,1.670120411,Asia
415,Philippines,2006,1311,1.504885281,Asia
416,Philippines,2007,1410,1.590477332,Asia
417,Poland,2010,3099,8.096317704,Europe
418,Poland,2008,3294,8.618871162,Europe
419,Poland,2009,3187,8.332194313,Europe
420,Poland,2011,3030,7.911444254,Europe
421,Poland,2007,3709,9.712027009,Europe
422,Portugal,2004,1701,16.19035826,Europe
423,Portugal,2006,1729,16.3458166,Europe
424,Portugal,2011,2182,20.41224312,Europe
425,Portugal,2010,2206,20.66399814,Europe
426,Portugal,2007,1810,17.06253636,Europe
427,Portugal,2003,1966,18.78498058,Europe
428,Portugal,2005,1619,15.35519487,Europe
429,Portugal,2008,2251,21.16673368,Europe
430,Portugal,2009,2556,23.98384187,Europe
431,Romania,2008,1566,7.253511237,Europe
432,Romania,2007,1565,7.230345311,Europe
441,Serbia,2007,419,4.261163995,Europe
442,Serbia,2006,457,4.646272749,Europe
443,Serbia,2011,379,3.846165946,Europe
444,Serbia,2008,436,4.430281994,Europe
445,Serbia,2009,455,4.618614132,Europe
446,Serbia,2010,493,5.001916556,Europe
447,Serbia,2005,532,5.39764403,Europe
448,Sierra Leone,2007,695,12.68644279,Africa
449,Sierra Leone,2008,623,11.10095652,Africa
450,Singapore,2011,1546,29.79992224,Asia
451,Singapore,2007,1468,32.01818842,Asia
452,Singapore,2006,1398,31.70100375,Asia
453,Singapore,2010,1579,31.0434573,Asia
454,Singapore,2008,1403,29.39933985,Asia
455,Singapore,2009,1475,29.82421909,Asia
456,Slovakia,2006,283,5.219358768,Europe
457,Slovakia,2007,293,5.394980716,Europe
458,Slovakia,2008,252,4.631242805,Europe
459,Slovakia,2009,230,4.218660124,Europe
460,Slovakia,2010,193,3.533427229,Europe
461,Slovakia,2011,234,4.276705007,Europe
462,Slovenia,2010,375,18.47581885,Europe
463,Slovenia,2011,312,15.33160492,Europe
464,Slovenia,2003,145,7.270262221,Europe
465,Slovenia,2004,369,18.46884746,Europe
466,Slovenia,2005,311,15.53381377,Europe
467,Slovenia,2006,286,14.25081332,Europe
468,Slovenia,2008,276,13.67574221,Europe
469,Slovenia,2009,345,17.04511769,Europe
470,Slovenia,2007,363,18.03865639,Europe
471,Solomon Islands,2007,139,27.99653568,Oceania
472,Solomon Islands,2004,319,69.81543775,Oceania
473,Solomon Islands,2005,204,43.42227094,Oceania
474,Solomon Islands,2008,122,23.9112071,Oceania
475,Solomon Islands,2006,231,47.82608696,Oceania
476,Spain,2008,11558,25.60123588,Europe
477,Spain,2009,10684,23.410258,Europe
478,Spain,2011,9860,21.22488922,Europe
479,Spain,2010,9958,21.61165522,Europe
480,Spain,2007,10348,23.1995133,Europe
481,Sweden,2005,11711,129.6993304,Europe
482,Sweden,2004,10419,116.0507977,Europe
483,Sweden,2009,15693,168.5405929,Europe
484,Sweden,2006,12147,133.6199704,Europe
485,Sweden,2007,12563,137.1300855,Europe
486,Sweden,2008,14342,155.2690131,Europe
487,Sweden,2010,17167,183.0231648,Europe
488,Sweden,2003,10142,113.5036941,Europe
489,Sweden,2011,17077,180.88611,Europe
490,Switzerland,2009,6648,87.23023152,Europe
491,Switzerland,2010,6321,82.47309154,Europe
492,Switzerland,2011,6121,79.47606305,Europe
493,Tajikistan,2006,169,2.590183603,Asia
494,Tajikistan,2007,171,2.589172776,Asia
495,Tajikistan,2010,197,2.863939469,Asia
496,Tajikistan,2011,201,2.88091171,Asia
497,Tajikistan,2008,182,2.719902633,Asia
498,Tajikistan,2009,168,2.476637787,Asia
499,Trinidad and Tobago,2004,633,48.29767851,Americas
500,Trinidad and Tobago,2005,803,61.04671937,Americas
501,Trinidad and Tobago,2006,803,60.81407554,Americas
502,Trinidad and Tobago,2007,901,67.96552994,Americas
503,Trinidad and Tobago,2008,779,58.52566414,Americas
504,Trinidad and Tobago,2009,804,60.16392424,Americas
505,Trinidad and Tobago,2010,767,57.17629606,Americas
506,Trinidad and Tobago,2011,709,52.66089798,Americas
507,Turkey,2003,2858,4.308146559,Asia
508,Turkey,2004,2893,4.302759148,Asia
509,Turkey,2005,3020,4.43184444,Asia
510,Turkey,2006,3300,4.778208727,Asia
511,Turkey,2007,2056,2.937446925,Asia
512,Turkey,2008,1850,2.608435851,Asia
513,Uganda,2005,14101,49.59691471,Africa
514,Uganda,2006,17046,58.03831911,Africa
515,Uganda,2007,32305,106.476967,Africa
516,Uganda,2008,10365,33.07339211,Africa
517,Uganda,2009,8646,26.71164208,Africa
518,Uganda,2010,8645,25.86411964,Africa
519,Ukraine,2003,2180,4.575671724,Europe
520,Ukraine,2004,1988,4.205160205,Europe
521,Ukraine,2005,1929,4.110909132,Europe
522,Ukraine,2006,2114,4.537279384,Europe
523,Ukraine,2007,1898,4.100932372,Europe
524,Ukraine,2008,1995,4.337750141,Europe
525,Ukraine,2009,1698,3.714316151,Europe
526,Ukraine,2010,1348,2.966005637,Europe
527,Yemen,2005,0,0,Asia
528,Yemen,2006,71,0.333520136,Asia
529,Yemen,2007,54,0.246047408,Asia
530,Yemen,2008,81,0.357985813,Asia
531,Yemen,2009,72,0.308639144,Asia
